Id,Injured,Dead,Keywords,Causes,Consequences
38,1,1,"fire - consequence, fatality, storage, injury",,"explosion, fire, people"
39,0,0,"fire - consequence, gas / vapour release",,"environmental, fire"
40,0,0,"fire - consequence, gas / vapour release, plant / property / equipment",,"environmental, explosion, fire"
41,2,1,"loading, fatality, injury",,"explosion, people"
42,13,7,"fatality, injury, mining",,"explosion, people"
43,11,0,"fire - consequence, gas / vapour release, injury, unknown chemicals",,"environmental, fire, people"
44,2,0,"environmental, warehousing, fire - consequence, injury, damage to equipment",,"environmental, fire, people, plant"
45,2,7,"fatality, injury, mining",,"explosion, people"
46,0,0,"laboratory work, mixing, unwanted chemical reaction, damage to equipment, container",,"explosion, plant"
47,2,0,"fire - consequence, warehousing, evacuation, injury",,"fire, people"
48,3,0,"human causes, rupture, fire - consequence, injury",,"explosion, fire, people, plant"
49,0,12,"fire - consequence, fatality, evacuation, mining",,"explosion, fire, people"
50,1,8,"burns, fire - consequence, fatality, damage to equipment, injury",,"fire, people, plant"
51,0,0,"fire - consequence, damage to equipment, contamination, design or procedure error, unknown chemicals",,"environmental, explosion, fire, plant"
52,0,0,"fire - consequence, contamination, warehousing",,"fire, plant"
53,0,0,"storage, storage equipment, fire - consequence, gas / vapour release, toxic fumes",,"environmental, fire"
54,0,0,fire - consequence,,"fire, people"
55,0,0,"unwanted chemical reaction, storage",,"environmental, people"
56,1,0,"fire - consequence, damage to equipment, storage, injury",,"fire, people, plant"
57,35,0,"fire - consequence, evacuation, storage, injury",,"explosion, fire, people"
58,0,0,,,explosion
59,6+, 81+,"fatality, safety procedures inadequate, injury, mining",human,"explosion, people"
60,5,0,"laboratory work, injury",,"explosion, people"
61,7,0,"gas / vapour release, mechanical equipment failure, injury",,"environmental, explosion, people"
62,0,0,"mechanical equipment failure, storage",,"environmental, people, plant"
63,0,0,"diesel fuel, excavation, spill",,environmental
64,3,0,"excavation damage, evacuation, injury",external,"environmental, people"
65,0,0,"fire - consequence, storage tanks,",,"explosion, fire"
66,5,0,"hot work, injury",equipment,"explosion, people"
67,0,0,"ecological damage, pollution, demolition",,environmental
68,4,3,"fatality, gas - flammable, injury",,"explosion, people"
69,13+,0,"fall, injury",,"people, plant"
70,1,0,"drums, leak, storage, injury",,"explosion, people"
71,17,0,"bulldozer/jcb/digger, gas / vapour release, injury",,"environmental, people"
72,5,0,"fire - consequence, laboratory work, injury",,"explosion, fire, people"
73,0,0,"fire - consequence, exploration",,fire
74,0,0,"fire - consequence, storage equipment",,fire
75,1,0,"operator error, asphyxiation, injury",human,people
76,0,3,"fatality, mining",,people
77,0,0,"evacuation, storage, toxic chemical",external,people
78,0,0,"fire - consequence, storage",,fire
79,0,0,"fire - consequence, damage to equipment, spill, corrosion, heating equipment",equipment,"environmental, explosion, fire, plant"
80,0,0,"tank failure, spill, pollution, damage to equipment, storage tanks",equipment,"environmental, plant"
81,0,0,,,people
82,0,15,"lifting equipment, fatality, electrical equipment failure",,people
83,5,1,"fatality, fall, safety procedures inadequate, injury",human,"people, plant"
84,4,1,"laboratory work, evacuation, fatality, injury",,people
85,35,11,"excavation, fatality, evacuation, fire - consequence, injury",,"explosion, fire, people"
86,348+, 50+,"fire - consequence, storage, fatality",,"explosion, fire, people"
87,11, -,"exploration, capsize of platform, mechanical equipment failure",,plant
88,0,0,"spill, offshore",,environmental
89,4+,2,"fatality, injury, mining",,"people, plant"
90,2,0,"fire - consequence, people",,"fire, people"
91,1,1,"exploration, fatality, explosive",,"explosion, people"
92,0,4,"fall, fatality, evacuation",,people
93,31,0,"gas / vapour release, warehousing, fracture, operator error, people","equipment, human",environmental
94,0,0,"fire - consequence, warehousing",,fire
95,-,9,"solids processing, injury, fatality, mining",external,people
96,0,1,"excavation, fatality",,"explosion, people"
97,0,0,"spill, pollution, mechanical equipment failure, design or procedure error, storage tanks",,environmental
98,0,1,"hot work, fatality, offshore",,"explosion, people"
99,-, 18+,"evacuation, inspection, fatality, mining",,"explosion, people"
100,3+,3,"fatality, injury, mining",,"explosion, people"
101,5,3,"construction, fatality, injury",,"people, plant"
102,1,2,"welding, storage tanks, fire - consequence, evacuation, fatality, injury",equipment,"explosion, fire, people"
103,0,0,"fire - consequence, marine transport, exploration",,fire
104,0,0,"fire - consequence, evacuation",,"fire, people"
105,0,0,,,"environmental, plant"
106,0,0,"offshore, evacuation",,people
107,0,0,"cleaning, pollution, container, design or procedure error",,environmental
108,30+,35,"fatality, injury, mining",,"explosion, people"
109,-,44,"fire - consequence, warehousing, fatality, injury",,"explosion, fire, people"
110,0,0,"storage tanks, fire - consequence, damage to equipment",,"explosion, fire, plant"
111,0,0,fire - consequence,human,fire
112,-,3,"fatality, mining",,"explosion, people"
113,0,0,"pollution, demolition, leak, ecological damage, people, environmental",,environmental
114,0,0,,,
115,0,0,"fire - consequence, evacuation, damage to equipment, storage",,"fire, people, plant"
116,0,0,"fire - consequence, operational activities, mining",,fire
117,0,0,"offshore, fire - consequence",,fire
118,0,0,"material of construction failure, storage tanks, pollution, ecological damage",,environmental
119,13, 8+,"fatality, injury, mining",,"explosion, people"
120,0,0,"fire - consequence, damage to equipment, weather effects, fuel gas",process,"fire, plant"
121,0,0,"pollution, ecological damage, material transfer",equipment,environmental
122,0,0,"fire - consequence, storage tanks",,fire
123,10, 32+,"vapour cloud explosion, injury, mining",equipment,"explosion, people"
124,13,4,"excavation damage, human causes, fatality, injury",external,"explosion, people, plant"
125,0,0,"flange failure, storage tanks, gas / vapour release, environmental, ecological damage, human causes",equipment,environmental
126,18, 38+,"solids processing, injury, mining",,"explosion, people"
127,18,38,"design or procedure error, vapour cloud explosion, injury, mining",,"explosion, people"
128,0,0,"evacuation, design or procedure error",process,"people, plant"
129,6,0,"fire - consequence, deliberate acts, processing, storage, evacuation, injury",,"fire, people"
130,2,0,"fire - consequence, exploration, offshore, maintenance, injury",process,"explosion, fire, people"
131,0,0,"storage tanks, pipeline failure, gas / vapour release, spill",equipment,environmental
132,0,2,"fatality, storage tanks, propane",,"explosion, people"
133,0,0,"storage tanks, corrosion, design or procedure error, pollution, environmental",equipment,environmental
134,0,0,"storage tanks, spill, design or procedure error",,environmental
135,0,0,"contractor error, demolition, evacuation, gas / vapour release",human,environmental
136,0,0,"storage tanks, operation inadequate",,environmental
137,7,2,"storage tanks, road vehicle, human causes, fatality, injury",,explosion
138,0,0,"storage tanks, vandalism, design or procedure error, pollution",external,environmental
139,5,4,"fire - consequence, fatality, injury, mining",,"explosion, fire, plant"
140,24,4,"fatality, mining, injury",equipment,"explosion, plant"
141,2,29,"fatality, mining, injury",,explosion
142,0,2,"fall, fatality, safety procedures inadequate, management system inadequate, demolition, tools & access equipment",human,
143,0,0,"rail transport, electrical equipment failure",,
144,15,1,"fire - consequence, radioactive, safety equipment failure, fatality, injury",,fire
145,1,0,"alkyne, acetylene, laboratory work, distillation, injury",,explosion
146,0,0,"near miss, gas / vapour release",,"environmental, nearmiss"
147,1,0,design or procedure error,,plant
148,0,0,"storage tanks, design or procedure error",,environmental
149,0,0,"isolation inadequate, design or procedure error",human,environmental
150,0,0,"joint failure, gasket failure, material transfer, refining",equipment,environmental
151,0,0,"exploration, sampling, fire - consequence, evacuation, transportation",,"fire, plant"
152,6,2,"fire - consequence, welding, fatality",equipment,fire
153,2,0,"laboratory work, contamination, safety procedures inadequate, injury",human,plant
154,2,3,"storage tanks, fire - consequence, fatality",human,"explosion, fire"
155,1,1,"storage tanks, fatality, entry into confined space, underground storage, injury",,explosion
156,5,2,"fire - consequence, fatality, storage equipment",equipment,fire
157,0,0,"exploration, evacuation, gas / vapour release, damage to equipment",,"environmental, explosion, plant"
158,1,0,"fire - consequence, unidentified cause, injury","process, unidentified","explosion, fire"
159,3,0,"fire - consequence, damage to equipment",,"fire, plant"
160,0,1,"storage tanks, fire - consequence, fatality, sampling, explosion / pressure release",,fire
161,0,0,"evacuation, gas / vapour release, exploration, natural gas",,environmental
162,0,1,"fire - consequence, maintenance, offshore, fatality",,fire
163,0,0,"storage, fire - consequence",,fire
164,0,0,"fire - consequence, exploration",,"environmental, explosion, fire"
165,1,0,"demolition, mechanical equipment failure, injury",,
166,0,23,"fatality, mining",,explosion
167,0,0,"fire - consequence, warehousing",,"explosion, fire"
168,0,0,"fire - consequence, plant shutdown",,"fire, plant, transport"
169,0,1,"storage tanks, refining, fatality",,explosion
170,0,0,"fire - consequence, processing",,"explosion, fire"
171,0,0,"fire - consequence, ecological damage, warehousing",,"environmental, fire"
172,0,0,"inadequate mooring, collision, marine transport",external,"environmental, transport"
173,1,1,"damage by backhoe, fatality",external,explosion
174,0,0,"fire - consequence, explosion, storage",,"explosion, fire"
175,0,0,"fire - consequence, damage to equipment, storage",,"fire, plant"
176,0,0,evacuation,,
177,0,0,"storage tanks, ecological damage",,environmental
178,0,0,"storage tanks, fire - consequence",,fire
179,0,0,fire - consequence,,fire
180,-,1,"demolition, fatality, human causes, injury",,
181,0,0,"fire - consequence, power plant",,fire
182,8,0,"fire - consequence, evacuation, warehousing, injury",,fire
183,100+,0,"fire - consequence, contamination, gas / vapour release, storage, evacuation, injury",,"environmental, fire, plant"
184,0,0,"fire/explosion, damage to equipment, storage",,plant
185,0,0,"pollution, mechanical equipment failure, process control & instrumentation, storage, environmental",,environmental
186,0,0,ecological damage,,environmental
187,64,3,"fire - consequence, fatality, LPG, injury",,"explosion, fire"
188,62,3,"fatality, injury",,explosion
189,64,3,"fire - consequence, fatality",,"explosion, fire"
190,31,8,"fatality, injury, mining",equipment,explosion
191,0,0,"offshore, fire - consequence",,"fire, plant"
192,4,0,"drilling/digging/ploughing vehicles, damage to equipment, evacuation, fire - consequence, exploration, product loss, drill, injury",,"fire, plant"
193,0,1,"storage tanks, fatality",,explosion
194,0,0,"offshore, gas / vapour release, evacuation",,"environmental, plant"
195,-,0,"fatality, mining",,explosion
196,0,68,"fatality, mining",,explosion
197,4,0,"maintenance, injury",,"environmental, explosion"
198,0,0,"mechanical equipment failure, gas / vapour release, storage equipment, spill",,environmental
199,3,0,"fire - consequence, storage",,"explosion, fire"
200,0,17,"fire - consequence, fatality",,fire
201,0,22,"storage, fire - consequence, explosion, fatality",,"explosion, fire"
202,0,0,"container, crude oil",,environmental
203,0,0,"drilling/digging/ploughing vehicles, natural gas, leak, fire - consequence",equipment,"explosion, fire"
204,3,0,"storage tanks, spill",,"environmental, plant"
205,10,0,"accidental mixing, environmental",chemical,explosion
206,0,0,storage tanks,,environmental
207,0,0,"material of construction failure, evacuation",,plant
208,12,68,"fatality, mining",,explosion
209,0,0,"fire - consequence, storage equipment, hot work",equipment,fire
210,0,0,"fire - consequence, evacuation, exploration",,"fire, plant"
211,0,0,"gas / vapour release, contamination, fire - consequence, storage, environmental",,"environmental, fire, plant"
212,0,0,"evacuation, fire - consequence",,fire
213,1,0,"safety procedures inadequate, fall, injury",human,
214,0,1,"silo/hopper, storage",,
215,0,1,fatality,,
216,2,0,"operational activities, offshore, lifting equipment, inadequate guarding, safety procedures inadequate, injury",human,
217,0,0,"contractor error, safety procedures inadequate, spill",human,environmental
218,0,0,"storage, drainage system, ecological damage, leak",,environmental
219,0,0,"fire - consequence, material transfer, storage tanks",,fire
220,0,0,"tank failure, rupture, storage",equipment,"environmental, plant"
221,0,0,"storage tanks, spill, contractor error, maintenance",human,environmental
222,0,0,fire - consequence,,fire
223,0,0,"fire - consequence, refining",,"explosion, fire"
224,4,19,"fire - consequence, evacuation, valve failure",equipment,"explosion, fire"
225,0,0,"fire - consequence, evacuation",,"explosion, fire"
226,0,0,"damage to equipment, offshore, collision",external,plant
227,0,0,storage tanks,,environmental
228,18,0,"storage tanks, document errors",human,explosion
229,0,0,"hose failure, spill",equipment,environmental
230,0,0,"fire - consequence, warehousing",,"fire, plant"
231,0,0,storage equipment,,explosion
232,1,0,"fire/explosion, fire - consequence, gas / vapour release",,"environmental, fire"
233,0,0,fire - consequence,,fire
234,0,0,fire - consequence,,fire
235,0,0,"evacuation, raffinate",,
236,1,0,"packaging equipment, warehousing",,explosion
237,0,2,"drilling/digging/ploughing vehicles, excavation, fatality",,explosion
238,0,0,fire - consequence,,"explosion, fire"
239,0,0,fire - consequence,,fire
240,5,8,"fire - consequence, fireworks, storage",external,fire
241,7,0,"storage tanks, gas / vapour release, operator error",human,environmental
242,1,0,"gas / vapour release, storage tanks, cleaning, unwanted chemical reaction",,environmental
243,15,1,"damage to equipment, storage, silo/hopper, processing",,"explosion, plant"
244,0,0,"fire - consequence, near miss, storage tanks",,"fire, nearmiss"
245,0,1,safety procedures inadequate,human,
246,0,0,"fire - consequence, storage tanks",,fire
247,0,0,"storage tanks, gas / vapour release",,environmental
248,0,0,"excavation, damage to equipment, drilling/digging/ploughing vehicles",,plant
249,0,0,"fire - consequence, storage",,"explosion, fire"
250,2,0,"scaffolding, near miss, design or procedure error",,nearmiss
251,0,6,"storage equipment, damage to equipment",equipment,"explosion, plant"
252,1,2,"storage equipment, fatality",,explosion
253,0,0,,,
254,0,0,exploration,,
255,0,0,"fire - consequence, storage, warehousing, unknown chemicals",equipment,
256,2,0,"fire - consequence, reactors and reaction equipment, laboratory work, charging reactor",,
257,17,0,"fire - consequence, gas / vapour release, warehousing, storage",,
258,0,0,"fire - consequence, storage, warehousing, unknown chemicals",,
259,0,0,"fire - consequence, offshore",,
260,0,0,"fire - consequence, damage to equipment, offshore",,plant
261,0,0,"sinking, offshore",,transport
262,0,0,sinking,,transport
263,0,0,"fire - consequence, evacuation",,
264,0,0,,,plant
265,2,2,"offshore, mechanical equipment failure",,
266,0,0,"offshore, damage to equipment, weather effects",,plant
267,0,0,,,
268,3,0,storage,process,
269,0,0,,,plant
270,0,0,"excavation damage, bulldozer/JCB/digger",external,
271,0,0,"lifting equipment, mechanical equipment failure, near miss",,nearmiss
272,0,1,"safety procedures inadequate, fatality",human,
273,3,2,"exploration, fatality, fire - consequence",,
274,100,3,"fire - consequence, storage",,
275,0,0,"fire - consequence, offshore",,
276,0,0,fire - consequence,,
277,0,0,"damage to equipment, warehousing",,plant
278,16,0,"fire - consequence, evacuation, gas / vapour release",,
279,0,0,"fire - consequence, damage to equipment",,plant
280,0,0,"fire - consequence, warehousing, storage",external,
281,0,0,storage tanks,,
282,0,0,"fire - consequence, warehousing",,
283,0,0,"fire - consequence, warehousing",process,
284,0,0,,,
285,2,0,damage to equipment,,plant
286,0,0,evacuation,,
287,0,0,"fire - consequence, electrical equipment failure",,
288,5,2,,,
289,0,0,"explosion, fire - consequence, storage",,
290,0,0,"material transfer, storage tanks, hose failure, overpressurisation","equipment, process",
291,0,0,"fire - consequence, refining, storage tanks",,
292,7,1,"warehousing, storage, product loss, fire - consequence",,plant
293,0,0,"evacuation, operator error","external, human",
294,0,0,storage tanks,,
295,17,0,"storage, warehousing",,
296,0,0,"warehouse, damage to equipment, fire - consequence",,plant
297,0,0,"storage tanks, environmental",,
298,4,0,"fire - consequence, laboratory work, damage to equipment",chemical,plant
299,0,0,fire - consequence,,
300,0,0,"fire - consequence, storage",,
301,0,0,,,
302,0,0,"fire - consequence, warehousing, storage",,
303,0,0,"fire - consequence, storage tanks, gas / vapour release, evacuation",,
304,0,0,"storage tanks, fire - consequence",,
305,1,2,"fire - consequence, fatality",,
306,1,0,"fire - consequence, offshore",,
307,0,0,"storage tanks, spill, mechanical equipment failure",,
308,0,0,"storage tanks, unwanted chemical reaction",,
309,0,0,,,
310,0,0,"mechanical equipment failure, storage tanks",equipment,
311,0,0,"damage to equipment, excavation damage, drilling/digging/ploughing vehicles",external,plant
312,0,0,"pump failure, material transfer",equipment,
313,0,0,"fire - consequence, evacuation",,
314,0,0,"fire - consequence, damage to equipment, laboratory work",,plant
315,0,0,"fire - consequence, damage to equipment",,plant
316,0,0,"fire - consequence, damage to equipment, offshore",,plant
317,0,0,"drums, explosion",,
318,1,0,"fire - consequence, electrical switchgear, maintenance, injury, offshore",,
319,0,0,"storage tanks, weather effects, spill",,plant
320,0,0,excavation damage,external,plant
321,0,0,"fire - consequence, evacuation",,
322,0,0,"excavation, human causes",,nearmiss
323,0,0,"fire - consequence, tank failure",equipment,
324,0,1,storage,,
325,0,0,"fire - consequence, warehousing, evacuation",,
326,0,0,"fire - consequence, laboratory work",,
327,0,0,fire - consequence,,
328,0,0,"storage tanks, inadequate mooring",external,
329,0,0,"fire - consequence, storage",human,
330,0,0,"offshore, evacuation, weather effects",,nearmiss
331,40,0,"warehousing, gas / vapour release",,
332,0,0,"fire - consequence, damage to equipment",,plant
333,0,0,"radioactive, storage tanks",,
334,0,0,,,
335,0,0,offshore,,
336,10,10,"offshore, fire - consequence, damage to equipment",,plant
337,-, -,"spill, storage tanks",external,
338,0,0,offshore,equipment,
339,0,0,"storage tanks, evacuation",,
340,0,0,"valve failure, offshore",equipment,plant
341,0,0,"fire - consequence, excavation",,plant
342,0,0,"fire - consequence, evacuation, exploration",,plant
343,0,0,"weather effects, storage tanks, isolation inadequate, aviation fuel, gauge glass failure, jet fuel","equipment, human",
344,0,1,"lifting equipment, fatality, incorrect equipment installed, additional incorrect operation, transport","equipment, human",
345,0,0,"offshore, damage to equipment, weather effects, product loss",,plant
346,0,2,marine transport,,
347,0,0,"storage tanks, fire - consequence, damage to equipment",,plant
348,7,1,fire - consequence,,
349,0,15,storage,,
350,0,0,fire - consequence,,
351,0,0,damage to equipment,,plant
352,2,0,"silo/hopper, storage",,
353,0,0,terrorism,external,
354,3,1,fire - consequence,,
355,0,0,fire - consequence,,
356,0,390,,,
357,0,0,"fire - consequence, heating",,
358,1,1,"explosion, fire - consequence",,
359,0,0,"fire - consequence, storage",,
360,3,1,fire - consequence,,
361,0,0,"gas / vapour release, contamination",,
362,26,0,"gas / vapour release, contamination",,
363,0,8,"storage, explosion, explosive",,
364,0,0,"spill, storage",,
365,0,0,"terrorism, fire - consequence",external,
366,0,2,fire - consequence,,
367,0,0,,,
368,0,0,"fire - consequence, storage",,
369,1,1,laboratory work,,
370,0,0,"fire - consequence, hot work, hot surface",external,
371,0,0,"storage tanks, cooling equipment",,
372,0,0,hose failure,equipment,
373,1,1,fire - consequence,,
374,0,0,,,
375,1,2,laboratory work,,
376,6,0,fire - consequence,,
377,0,0,fire - consequence,,
378,0,0,,,
379,0,0,,,
380,26,30,"silo/hopper, storage",equipment,
381,0,0,deliberate acts,,
382,0,0,"material transfer, operation inadequate, spill",,
383,0,0,fire - consequence,,
384,7,0,,,
385,28,8,"overflow, fire - consequence",,
386,20,0,"fire - consequence, warehousing",,
387,0,0,spill,,
388,0,0,,,
389,0,0,,,
390,0,0,"laboratory work, fire - consequence",,
391,0,0,"overflow, sodium hydroxide",,
392,0,0,"power plant, construction",,plant
393,76,22,"fire - consequence, warehousing",,
394,0,0,evacuation,,
395,0,0,damage to equipment,,plant
396,0,0,"fire - consequence, warehousing",,
397,0,0,fire - consequence,,
398,0,0,terrorism,external,
399,4,0,"collision, fire - consequence",external,
400,0,0,,,nearmiss
401,0,0,"warehousing, fire - consequence",,
402,0,0,"near miss, safety procedures inadequate, demolition",human,nearmiss
403,1,0,"fire - consequence, atmospheric tank",,
404,50,1,fire - consequence,"equipment, external",
405,0,0,fire - consequence,,
406,0,0,fire - consequence,,
407,0,0,fire - consequence,,
408,0,0,"atmospheric tank, fire - consequence",,
409,0,0,lagging fire,external,
410,0,0,"permit to work system inadequate, evacuation",management,
411,0,0,,,
412,0,0,"overflow, instrumentation failure",equipment,
413,0,0,fire - consequence,,
414,0,0,"fire - consequence, warehousing",,
415,1,0,"laboratory work, safety procedures inadequate, unwanted chemical reaction, bromine cyanide",human,
416,0,0,"pollution, corrosion",equipment,
417,0,0,fire - consequence,,
418,0,0,"fire - consequence, storage",,
419,1,0,"bulldozer/JCB/digger, fire - consequence, excavation damage",external,
420,0,0,"fire - consequence, warehousing",,
421,0,0,"weather effects, near miss",,nearmiss
422,1,1,,,
423,0,0,"lube oil, fire - consequence",,
424,0,0,"fire - consequence, laboratory work",,
425,0,0,"fire - consequence, warehousing",,
426,11,0,"flow restriction, gas / vapour release, material transfer,",,
427,0,1,"cleaning, warehousing, entry into confined space, testing inadequate",human,
428,0,0,"storage tanks, floating roof failure, lightning, fire - consequence",equipment,
429,0,0,"bolt failure, near miss",equipment,nearmiss
430,1,0,"construction, leak, entry into confined space, injury",,
431,0,0,"human causes, spill, near miss",,nearmiss
432,0,0,"zinc, storage, drums, explosion, unwanted chemical reaction, high pressure, weather effects, gas / vapour release",,
433,5,1,,,
434,0,0,,,
435,5,0,fire - consequence,,
436,0,0,"strong winds, plant shutdown",external,
437,0,0,spill,,
438,10,0,fire - consequence,,
439,0,3,explosive,,
440,0,0,,,
441,0,0,,,
442,0,0,"silo/hopper, material of construction failure",,
443,0,0,"fire - consequence, warehousing",,
444,0,0,"fire - consequence, storage",,
445,0,0,"fire - consequence, silo/hopper, storage",,
446,0,0,,,
447,22,1,"unwanted chemical reaction, gas / vapour release",,
448,0,2,"overflow, fire - consequence, operator error, loading",human,
449,1,0,fire - consequence,,
450,0,0,fire - consequence,,
451,0,0,collision,external,
452,0,0,,,
453,1,0,"pipeline failure, incorrect equipment installed, spill, material transfer","chemical, equipment",
454,0,0,evacuation,,
455,0,0,"loading bay, fire - consequence",,
456,1,0,,,
457,0,0,"laboratory work, fire - consequence",,
458,2,0,"hot work, alcohol",,
459,23,6,excavation damage,external,
460,0,0,marine transport,,
461,70,1,testing inadequate,human,
462,0,0,"fire - consequence, warehousing, gas / vapour release",,
463,0,0,"storage tanks, material of construction failure, gas / vapour release, damage to equipment, design or procedure error, high temperature",chemical,
464,0,0,"fire - consequence, damage to equipment",equipment,
465,0,0,,,
466,160,15,"warehousing, fatality",,
467,0,0,gas / vapour release,external,
468,0,0,"overpressurisation, refining, storage, damage to equipment, design inadequate, human causes","human, process",
469,0,0,,process,
470,0,0,,,
471,0,0,fire - consequence,,
472,3,4,,equipment,
473,6,0,"warehousing, fire - consequence",,
474,0,1,,,
475,0,0,"terrorism, storage",external,
476,0,0,"fire - consequence, storage",,
477,10,4,"fire - consequence, processing",,
478,0,0,"fire - consequence, storage",,
479,0,0,terrorism,external,
480,5,0,gas / vapour release,,
481,4,0,"explosion, warehousing",,
482,43,0,,,
483,0,0,fire - consequence,,
484,0,0,,,
485,0,0,,,
486,0,0,excavation damage,external,
487,0,0,"control failure, high temperature, high pressure, operator error, design or procedure error",human,
488,1,0,fire - consequence,,
489,0,0,storage tanks,,
490,3,0,"silo/hopper, storage",,
491,0,0,,,
492,0,0,fire - consequence,,
493,0,0,"unwanted chemical reaction, fire - consequence, laboratory work",,
494,0,10,"fire - consequence, warehousing",,
495,5,4,"silo/hopper, storage",,
496,0,0,"radioactive release, container, uranium solution",,
497,0,0,paint thinner,,
498,0,0,"fire - consequence, warehousing",,
499,0,0,explosion,,
500,0,0,damage by backhoe,"equipment, external",
501,0,0,"damage to equipment, safety procedures inadequate",human,"explosion, plant"
502,2,0,"burns, injury",equipment,"explosion, people"
503,3,1,"welding, road tanker, fatality, injury",,"explosion, people"
504,2,1,"road transport, injury",,"explosion, people"
505,0,0,"inspection, spill, power plant",,environmental
506,0,1,"fall, fatality, unknown chemicals",,people
507,54,0,"people, injury",,people
508,0,0,"marine tanker, leak, hydrocarbon, cleaning fluid, ecological damage",,environmental
509,0,0,"fire - consequence, damage to equipment",,"explosion, fire, plant"
510,1,0,"fall, silo/hopper, injury",,people
511,6,0,injury,,"environmental, people"
512,2,0,"start-up, injury",,"explosion, people"
513,0,0,cleaning,,plant
514,0,0,"pipeline failure, near miss",equipment,"nearmiss, plant"
515,10,1,"fire - consequence, fatality, burns, injury",,"explosion, fire, people"
516,2,0,"fire - consequence, hot surface, evacuation, burns, injury",external,"fire, people"
517,0,2,"entry into confined space, safety procedures inadequate, road tanker, asphyxiation, fatality",human,people
518,2,0,"burns, centrifuge, injury",,"explosion, people"
519,0,0,fire - consequence,,fire
520,2,0,"fire - consequence, contamination, mechanical equipment failure, injury",equipment,"fire, people"
521,0,2,"cleaning, fatality, tools & access equipment, asphyxiation, chemicals unknown",,people
522,0,0,"road transport, damage to equipment",equipment,"explosion, plant"
523,2,0,"road transport, injury",,"explosion, people"
524,2,2,"evacuation, fire - consequence, fatality, safety procedures inadequate, injury",human,"fire, people"
525,0,4,"hot surface, fatality, fire - consequence",external,"fire, people"
526,0,0,"fire - consequence, evacuation, plant shutdown, design or procedure error",,"fire, people, plant"
527,6,0,"burns, sampling, process causes, fire - consequence, evacuation, injury",,"explosion, fire, people"
528,0,1,"contamination, fatality",,"explosion, people"
529,1,0,"explosion, burns, injury",,"explosion, people"
530,2,0,"people, injury",,"explosion, people"
531,3,0,"leak, injury",,"explosion, people"
532,1,3,"storage tanks, fire - consequence, fatality, injury",human,"explosion, fire, people"
533,0,0,fire - consequence,,fire
534,3,4,"safety procedures inadequate, fatality, injury",human,"explosion, people"
535,4,9,"fire - consequence, fatality, injury",equipment,"fire, people"
536,8,1,"fire - consequence, solids processing equipment, fatality, injury",,"explosion, fire, people"
