Id,Keywords
138,"storage tanks, vandalism, design or procedure error, pollution"
139,"fire - consequence, fatality, injury, mining"
140,"fatality, mining, injury"
141,"fatality, mining, injury"
142,"fall, fatality, safety procedures inadequate, management system inadequate, demolition, tools & access equipment"
143,"rail transport, electrical equipment failure"
144,"fire - consequence, radioactive, safety equipment failure, fatality, injury"
145,"alkyne, acetylene, laboratory work, distillation, injury"
146,"near miss, gas / vapour release"
147,design or procedure error
148,"storage tanks, design or procedure error"
149,"isolation inadequate, design or procedure error"
150,"joint failure, gasket failure, material transfer, refining"
151,"exploration, sampling, fire - consequence, evacuation, transportation"
152,"fire - consequence, welding, fatality"
153,"laboratory work, contamination, safety procedures inadequate, injury"
154,"storage tanks, fire - consequence, fatality"
155,"storage tanks, fatality, entry into confined space, underground storage, injury"
156,"fire - consequence, fatality, storage equipment"
157,"exploration, evacuation, gas / vapour release, damage to equipment"
158,"fire - consequence, unidentified cause, injury"
159,"fire - consequence, damage to equipment"
160,"storage tanks, fire - consequence, fatality, sampling, explosion / pressure release"
161,"evacuation, gas / vapour release, exploration, natural gas"
162,"fire - consequence, maintenance, offshore, fatality"
163,"storage, fire - consequence"
164,"fire - consequence, exploration"
165,"demolition, mechanical equipment failure, injury"
166,"fatality, mining"
167,"fire - consequence, warehousing"
168,"fire - consequence, plant shutdown"
169,"storage tanks, refining, fatality"
170,"fire - consequence, processing"
171,"fire - consequence, ecological damage, warehousing"
172,"inadequate mooring, collision, marine transport"
173,"damage by backhoe, fatality"
174,"fire - consequence, explosion, storage"
175,"fire - consequence, damage to equipment, storage"
176,evacuation
177,"storage tanks, ecological damage"
178,"storage tanks, fire - consequence"
179,fire - consequence
180,"demolition, fatality, human causes, injury"
181,"fire - consequence, power plant"
182,"fire - consequence, evacuation, warehousing, injury"
183,"fire - consequence, contamination, gas / vapour release, storage, evacuation, injury"
184,"fire/explosion, damage to equipment, storage"
185,"pollution, mechanical equipment failure, process control & instrumentation, storage, environmental"
186,ecological damage
187,"fire - consequence, fatality, LPG, injury"
188,"fatality, injury"
189,"fire - consequence, fatality"
190,"fatality, injury, mining"
191,"offshore, fire - consequence"
192,"drilling/digging/ploughing vehicles, damage to equipment, evacuation, fire - consequence, exploration, product loss, drill, injury"
193,"storage tanks, fatality"
194,"offshore, gas / vapour release, evacuation"
195,"fatality, mining"
196,"fatality, mining"
197,"maintenance, injury"
198,"mechanical equipment failure, gas / vapour release, storage equipment, spill"
199,"fire - consequence, storage"
200,"fire - consequence, fatality"
201,"storage, fire - consequence, explosion, fatality"
202,"container, crude oil"
203,"drilling/digging/ploughing vehicles, natural gas, leak, fire - consequence"
204,"storage tanks, spill"
205,"accidental mixing, environmental"
206,storage tanks
207,"material of construction failure, evacuation"
208,"fatality, mining"
209,"fire - consequence, storage equipment, hot work"
210,"fire - consequence, evacuation, exploration"
211,"gas / vapour release, contamination, fire - consequence, storage, environmental"
212,"evacuation, fire - consequence"
213,"safety procedures inadequate, fall, injury"
214,"silo/hopper, storage"
215,fatality
216,"operational activities, offshore, lifting equipment, inadequate guarding, safety procedures inadequate, injury"
217,"contractor error, safety procedures inadequate, spill"
218,"storage, drainage system, ecological damage, leak"
219,"fire - consequence, material transfer, storage tanks"
220,"tank failure, rupture, storage"
221,"storage tanks, spill, contractor error, maintenance"
222,fire - consequence
223,"fire - consequence, refining"
224,"fire - consequence, evacuation, valve failure"
225,"fire - consequence, evacuation"
226,"damage to equipment, offshore, collision"
227,storage tanks
228,"storage tanks, document errors"
229,"hose failure, spill"
230,"fire - consequence, warehousing"
231,storage equipment
232,"fire/explosion, fire - consequence, gas / vapour release"
233,fire - consequence
234,fire - consequence
235,"evacuation, raffinate"
236,"packaging equipment, warehousing"
237,"drilling/digging/ploughing vehicles, excavation, fatality"
238,fire - consequence
239,fire - consequence
240,"fire - consequence, fireworks, storage"
241,"storage tanks, gas / vapour release, operator error"
242,"gas / vapour release, storage tanks, cleaning, unwanted chemical reaction"
243,"damage to equipment, storage, silo/hopper, processing"
244,"fire - consequence, near miss, storage tanks"
245,safety procedures inadequate
246,"fire - consequence, storage tanks"
247,"storage tanks, gas / vapour release"
248,"excavation, damage to equipment, drilling/digging/ploughing vehicles"
249,"fire - consequence, storage"
250,"scaffolding, near miss, design or procedure error"
251,"storage equipment, damage to equipment"
252,"storage equipment, fatality"
253,
254,exploration
255,"fire - consequence, storage, warehousing, unknown chemicals"
256,"fire - consequence, reactors and reaction equipment, laboratory work, charging reactor"
257,"fire - consequence, gas / vapour release, warehousing, storage"
258,"fire - consequence, storage, warehousing, unknown chemicals"
259,"fire - consequence, offshore"
260,"fire - consequence, damage to equipment, offshore"
261,"sinking, offshore"
262,sinking
