IncidentID,Keywords,activities,causes,consequences,equipment
39,"spark, tools & access equipment, injury",operational_act1,equipment_cau2,"explosion_con2, people_con6",equipment_NA
40,"entry into confined space, fatality, asphyxiation, storage tanks, human causes, management system inadequate",operational_act1,causes_NA,people_con6,equipment_NA
41,"welding, storage tanks, fire - consequence, evacuation, fatality, injury","operational_act1, uncategorised_act4",equipment_cau2,"explosion_con2, fire_con3, people_con6",equipment_NA
42,"cleaning, gas / vapour release",operational_act1,causes_NA,environmental_con1,pipingfittings_eq5
43,"fire - consequence, evacuation","operational_act1, uncategorised_act4",causes_NA,"fire_con3, people_con6",storage_eq13
44,"human causes, spill, pollution, cleaning",operational_act1,causes_NA,environmental_con1,transport_eq16
45,"fire - consequence, damage to equipment, reactors and reaction equipment, sodium borohydride, fatality",operational_act1,causes_NA,"explosion_con2, fire_con3, people_con6, plant_con7",equipment_NA
46,"cleaning, pollution, container, design or procedure error","operational_act1, uncategorised_act4",causes_NA,environmental_con1,storage_eq13
47,"accidental mixing, injury",operational_act1,chemical_cau1,"explosion_con2, people_con6",storage_eq13
48,"fire - consequence, repair, injury","operational_act1, transportation_act3",causes_NA,"explosion_con2, fire_con3, people_con6",pipingfittings_eq5
49,"burns, fatality, flow restriction, injury",operational_act1,equipment_cau2,"explosion_con2, people_con6",", heatingcooling_eq2, pipingfittings_eq5, separation_eq11"
50,"testing, plant shutdown, fatality, injury",operational_act1,causes_NA,"explosion_con2, people_con6, plant_con7",powerplant_eq6
51,"drains & sewers, maintenance inadequate, waste, pollution, design or procedure error",operational_act1,human_cau4,environmental_con1,equipment_NA
52,"mechanical equipment failure, damage to equipment, gas / vapour release, gas - flammable",operational_act1,causes_NA,"environmental_con1, plant_con7",pressure_eq7
53,"fire - consequence, refining, fatality, burns, injury","operational_act1, processing_act2",causes_NA,"fire_con3, people_con6",pipingfittings_eq5
54,"fire - consequence, injury",operational_act1,causes_NA,"explosion_con2, fire_con3, people_con6",storage_eq13
55,"operation inadequate, reactors and reaction equipment, damage to equipment",operational_act1,causes_NA,plant_con7,equipment_NA
56,"explosion / pressure release, design or procedure error, fatality, injury",operational_act1,causes_NA,people_con6,heatingcooling_eq2
57,"river transport, cleaning, human causes",operational_act1,process_cau6,explosion_con2,"storage_eq13, transport_eq16"
58,"leak, fire - consequence, fatality",operational_act1,causes_NA,"fire_con3, people_con6","pipingfittings_eq5, tools_eq15"
59,"ecological damage, pollution, leak, waste, drains & sewers, control failure, spill",operational_act1,causes_NA,environmental_con1,equipment_NA
60,"permit to work system inadequate, burns, isolation inadequate",operational_act1,"human_cau4, management_cau5",people_con6,heatingcooling_eq2
61,"fire - consequence, start-up, polyethylene",operational_act1,causes_NA,"explosion_con2, fire_con3, people_con6",equipment_NA
62,fatality,operational_act1,causes_NA,people_con6,equipment_NA
63,"fire - consequence, damage to equipment, metal - molten",operational_act1,equipment_cau2,"fire_con3, plant_con7",", storage_eq13"
64,"fatality, injury",operational_act1,causes_NA,"explosion_con2, people_con6",equipment_NA
65,"fire - consequence, dust explosion",operational_act1,causes_NA,"explosion_con2, fire_con3",equipment_NA
66,"mechanical equipment failure, spill",operational_act1,causes_NA,environmental_con1,equipment_NA
67,"storage tanks, operation inadequate","operational_act1, uncategorised_act4",causes_NA,environmental_con1,equipment_NA
68,"fatality, injury",operational_act1,causes_NA,explosion_con2,storage_eq13
69,"fatality, entry into confined space, safety procedures inadequate, injury",operational_act1,human_cau4,consequences_NA,pipingfittings_eq5
70,"cleaning procedure incorrect, permit to work system inadequate, contractor error",operational_act1,"human_cau4, management_cau5",explosion_con2,storage_eq13
71,"fire - consequence, evacuation, gas / vapour release",operational_act1,equipment_cau2,"environmental_con1, fire_con3",equipment_NA
72,"explosion, tank failure, material of construction failure, unknown chemicals, injury",operational_act1,equipment_cau2,explosion_con2,", storage_eq13"
73,"exploration, sampling, fire - consequence, evacuation, transportation","operational_act1, transportation_act3, uncategorised_act4",causes_NA,"fire_con3, plant_con7",pipingfittings_eq5
74,"fire - consequence, welding, fatality","operational_act1, uncategorised_act4",equipment_cau2,fire_con3,equipment_NA
75,"storage tanks, fatality, entry into confined space, underground storage, injury","operational_act1, uncategorised_act4",causes_NA,explosion_con2,storage_eq13
76,"preparation for maintenance, maintenance, furnace, design inadequate, injury",operational_act1,human_cau4,consequences_NA,heatingcooling_eq2
77,"sampling, radioactive",operational_act1,causes_NA,consequences_NA,equipment_NA
78,"storage tanks, fire - consequence, fatality, sampling, explosion / pressure release","operational_act1, uncategorised_act4",causes_NA,fire_con3,equipment_NA
79,"environmental, transportation","operational_act1, transportation_act3",equipment_cau2,environmental_con1,", pipingfittings_eq5"
80,transportation,operational_act1,causes_NA,explosion_con2,pipingfittings_eq5
81,"unloading, gas / vapour release, safety procedures inadequate, permit to work system inadequate, asphyxiation","operational_act1, processing_act2","human_cau4, management_cau5",environmental_con1,storage_eq13
82,"fire - consequence, plant shutdown","operational_act1, uncategorised_act4",causes_NA,"fire_con3, plant_con7, transport_con8",equipment_NA
83,"fire - consequence, inspection","operational_act1, processing_act2",causes_NA,fire_con3,pipingfittings_eq5
84,"pollution, design or procedure error","operational_act1, transportation_act3",causes_NA,environmental_con1,pipingfittings_eq5
85,"explosion, fire - consequence, damage to equipment, permit to work system inadequate",operational_act1,management_cau5,"explosion_con2, fire_con3, plant_con7",equipment_NA
86,"reactors and reaction equipment, maintenance, tube, heat exchanger, reactor tube, design or procedure error, blowout, permit to work system inadequate, entry into confined space",operational_act1,management_cau5,plant_con7,"heatingcooling_eq2, reactors_eq9"
87,"explosion, testing, air transport","operational_act1, processing_act2",causes_NA,explosion_con2,equipment_NA
88,"fire - consequence, fatality","operational_act1, transportation_act3",equipment_cau2,fire_con3,equipment_NA
89,"fire - consequence, design or procedure error",operational_act1,causes_NA,fire_con3,pipingfittings_eq5
90,"fire - consequence, design or procedure error, transportation, injury","operational_act1, transportation_act3",causes_NA,fire_con3,pipingfittings_eq5
91,"damage to equipment, fatality","operational_act1, transportation_act3",causes_NA,"explosion_con2, plant_con7",equipment_NA
92,"hot surface, fatality","operational_act1, transportation_act3",external_cau3,explosion_con2,"storage_eq13, transport_eq16"
93,"storage tanks, fatality","operational_act1, uncategorised_act4",causes_NA,explosion_con2,equipment_NA
94,"drums, explosion, unwanted chemical reaction, injury",operational_act1,causes_NA,explosion_con2,storage_eq13
95,fire - consequence,operational_act1,causes_NA,fire_con3,"heatingcooling_eq2, storage_eq13, transport_eq16"
96,"drains & sewers, backflow",operational_act1,process_cau6,environmental_con1,equipment_NA
97,"fire - consequence, human causes",operational_act1,causes_NA,"explosion_con2, fire_con3","reactors_eq9, storage_eq13"
98,explosion,operational_act1,causes_NA,explosion_con2,storage_eq13
99,"marine transport, hot surface, fatality",operational_act1,external_cau3,explosion_con2,transport_eq16
100,"reactors and reaction equipment, leak, bursting disc",operational_act1,causes_NA,plant_con7,safety_eq10
101,"safety procedures inadequate, reactors and reaction equipment, injury",operational_act1,human_cau4,consequences_NA,tools_eq15
102,"material of construction failure, evacuation","operational_act1, uncategorised_act4",causes_NA,plant_con7,pipingfittings_eq5
103,"cleaning, unwanted chemical reaction, gas / vapour release",operational_act1,causes_NA,environmental_con1,pipingfittings_eq5
104,"fire - consequence, storage tanks, gas / vapour release",operational_act1,causes_NA,"environmental_con1, fire_con3",equipment_NA
105,"transportation, pollution, material of construction failure","operational_act1, transportation_act3",causes_NA,"environmental_con1, plant_con7",pipingfittings_eq5
106,"low pressure, process causes, explosion, seal failure",operational_act1,"chemical_cau1, equipment_cau2",explosion_con2,equipment_NA
107,"entry into confined space, reaction vessel, atmosphere not tested, asphyxiation, glycol",operational_act1,human_cau4,consequences_NA,equipment_NA
108,"pressure raising/reducing equipment, damage to equipment",operational_act1,equipment_cau2,plant_con7,equipment_NA
109,"cleaning, reaction vessel, design inadequate, injury",operational_act1,human_cau4,consequences_NA,equipment_NA
110,"level meter/control, asphyxiation, safety procedures inadequate",operational_act1,human_cau4,consequences_NA,process_eq8
111,"inspection, circuit breaker, arcing, operator error, injury",operational_act1,"equipment_cau2, human_cau4",consequences_NA,", electrical_eq1"
112,"modification, transformer, circuit breaker, competency lacking, short circuit, testing inadequate, injury",operational_act1,"equipment_cau2, human_cau4",consequences_NA,", electrical_eq1"
113,"overpressurisation, blowout, draining",operational_act1,process_cau6,plant_con7,pipingfittings_eq5
114,"fatality, silo/hopper",operational_act1,causes_NA,consequences_NA,storage_eq13
115,"decommissioning, explosion, fatality",operational_act1,causes_NA,explosion_con2,storage_eq13
116,"tank failure, rupture, storage","operational_act1, uncategorised_act4",equipment_cau2,"environmental_con1, plant_con7",equipment_NA
117,"flange failure, spill, near miss",operational_act1,equipment_cau2,"environmental_con1, nearmiss_con5",", pipingfittings_eq5"
118,"valve failure, people, testing",operational_act1,equipment_cau2,consequences_NA,equipment_NA
119,"operation inadequate, sampling,",operational_act1,causes_NA,environmental_con1,pipingfittings_eq5
120,"operator error, mixing, spill, decommissioning","operational_act1, processing_act2",human_cau4,environmental_con1,reactors_eq9
121,"overpressurisation, operator error, spill, near miss, preparation for maintenance, operation inadequate",operational_act1,"human_cau4, process_cau6","environmental_con1, nearmiss_con5",pipingfittings_eq5
122,Start-up,operational_act1,causes_NA,plant_con7,equipment_NA
123,"pipeline failure, fire - consequence, damage to equipment, autoignition, processing",operational_act1,"chemical_cau1, equipment_cau2","fire_con3, plant_con7",", pipingfittings_eq5"
124,"bursting disc failure, high pressure, spill",operational_act1,causes_NA,environmental_con1,safety_eq10
125,gas / vapour release,operational_act1,causes_NA,environmental_con1,equipment_NA
126,"permit to work system inadequate, injury","operational_act1, transportation_act3",management_cau5,explosion_con2,"pipingfittings_eq5, storage_eq13"
127,"spill, design or procedure error",operational_act1,causes_NA,environmental_con1,pipingfittings_eq5
128,"radioactive, testing, design or procedure error, near miss, training inadequate",operational_act1,management_cau5,nearmiss_con5,equipment_NA
129,"mechanical equipment failure, standards inadequate, start-up",operational_act1,human_cau4,consequences_NA,storage_eq13
130,"storage tanks, gas / vapour release, operator error","operational_act1, uncategorised_act4",human_cau4,environmental_con1,equipment_NA
131,"gas / vapour release, storage tanks, cleaning, unwanted chemical reaction","operational_act1, uncategorised_act4",causes_NA,environmental_con1,equipment_NA
132,fire - consequence,operational_act1,causes_NA,"environmental_con1, fire_con3",pipingfittings_eq5
133,cracking,"operational_act1, processing_act2",causes_NA,explosion_con2,reactors_eq9
134,"reactors and reaction equipment, fire - consequence",operational_act1,causes_NA,"explosion_con2, fire_con3",equipment_NA
135,"mechanical equipment failure, gas / vapour release, competency lacking, cracking, pipe, drain","operational_act1, processing_act2","equipment_cau2, human_cau4",environmental_con1,", pipingfittings_eq5"
136,"welding, hot surface, fatality, maintenance",operational_act1,external_cau3,explosion_con2,storage_eq13
137,keyword_NA,operational_act1,causes_NA,consequences_NA,equipment_NA
138,"maintenance, fire - consequence, cracking","operational_act1, processing_act2",equipment_cau2,"fire_con3, plant_con7",equipment_NA
139,safety procedures inadequate,operational_act1,human_cau4,explosion_con2,storage_eq13
140,"scalding, low pressure, spill, refining, gauge glass failure, injury","operational_act1, processing_act2",equipment_cau2,plant_con7,equipment_NA
141,"catalytic reformer, residue",operational_act1,chemical_cau1,explosion_con2,reactors_eq9
142,"rail transport, maintenance, human causes, fall, injury","operational_act1, transportation_act3",causes_NA,consequences_NA,tools_eq15
143,"permit to work system inadequate, near miss",operational_act1,management_cau5,nearmiss_con5,reactors_eq9
144,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
145,"testing, injury",operational_act1,human_cau4,plant_con7,equipment_NA
146,"entry into confined space, asphyxiation, operator error",operational_act1,human_cau4,consequences_NA,"heatingcooling_eq2, storage_eq13"
147,keyword_NA,operational_act1,causes_NA,consequences_NA,equipment_NA
148,keyword_NA,operational_act1,causes_NA,consequences_NA,pipingfittings_eq5
149,keyword_NA,operational_act1,causes_NA,consequences_NA,storage_eq13
150,"fire - consequence, damage to equipment, cracking","operational_act1, processing_act2",causes_NA,plant_con7,reactors_eq9
151,fire - consequence,operational_act1,causes_NA,consequences_NA,pipingfittings_eq5
152,keyword_NA,"operational_act1, transportation_act3",causes_NA,consequences_NA,equipment_NA
153,entry into confined space,"operational_act1, transportation_act3",causes_NA,consequences_NA,storage_eq13
154,"fire - consequence, refining","operational_act1, processing_act2",utility_cau8,consequences_NA,equipment_NA
155,fire - consequence,operational_act1,causes_NA,consequences_NA,pipingfittings_eq5
156,gas / vapour release,operational_act1,causes_NA,consequences_NA,safety_eq10
157,"fire - consequence, overpressurisation, installation inadequate, product loss","operational_act1, processing_act2","human_cau4, process_cau6",plant_con7,storage_eq13
158,"high pressure, fall, explosion / pressure release, entry into confined space, fatality, design or procedure error, injury",operational_act1,causes_NA,consequences_NA,pipingfittings_eq5
159,"reactors and reaction equipment, fire - consequence, separation equipment, cooling equipment",operational_act1,equipment_cau2,plant_con7,", heatingcooling_eq2"
160,"fire - consequence, plant shutdown",operational_act1,causes_NA,plant_con7,storage_eq13
161,"separation equipment, design inadequate",operational_act1,human_cau4,plant_con7,equipment_NA
162,"inadequate guarding, safety procedures inadequate, permit to work system inadequate",operational_act1,"human_cau4, management_cau5",consequences_NA,pipingfittings_eq5
163,"inspection, fire - consequence, damage to equipment",operational_act1,causes_NA,plant_con7,equipment_NA
164,"fire - consequence, power supply failure",operational_act1,utility_cau8,consequences_NA,equipment_NA
165,"power supply failure, refining","operational_act1, processing_act2",utility_cau8,consequences_NA,equipment_NA
166,"vapour cloud explosion, overpressurisation, refining","operational_act1, processing_act2",process_cau6,consequences_NA,"pipingfittings_eq5, reactors_eq9"
167,"fire - consequence, burns, decommissioning, hot surface","operational_act1, processing_act2",external_cau3,consequences_NA,equipment_NA
168,"hydrogen sulphide, gas / vapour release, pump failure, road tanker, draining, people","operational_act1, processing_act2",equipment_cau2,consequences_NA,", transport_eq16"
169,"refining, cracking","operational_act1, processing_act2","equipment_cau2, process_cau6",plant_con7,", heatingcooling_eq2, pipingfittings_eq5, reactors_eq9"
170,environmental,operational_act1,causes_NA,consequences_NA,safety_eq10
171,"explosion, human causes",operational_act1,causes_NA,consequences_NA,storage_eq13
172,"fire - consequence, training inadequate, vapour cloud explosion, injury",operational_act1,management_cau5,consequences_NA,heatingcooling_eq2
173,"fire - consequence, damage to equipment, commissioning, solids processing equipment, hot surface",operational_act1,external_cau3,plant_con7,equipment_NA
174,"damage to equipment, product loss, reactors and reaction equipment, safety procedures inadequate",operational_act1,human_cau4,plant_con7,reactors_eq9
175,"bursting disc failure, spill, overpressurisation",operational_act1,process_cau6,consequences_NA,equipment_NA
176,"fire - consequence, start-up, damage to equipment",operational_act1,causes_NA,plant_con7,equipment_NA
177,"offshore, fire - consequence, damage to equipment","operational_act1, uncategorised_act4",causes_NA,plant_con7,equipment_NA
178,"cleaning, fire - consequence, refining, modification procedures inadequate, injury","operational_act1, processing_act2",management_cau5,plant_con7,separation_eq11
179,cooling equipment,operational_act1,causes_NA,consequences_NA,pipingfittings_eq5
180,"permit to work system inadequate, labelling incorrect",operational_act1,"human_cau4, management_cau5",nearmiss_con5,equipment_NA
181,"tube failure, design or procedure error",operational_act1,"equipment_cau2, process_cau6",plant_con7,", heatingcooling_eq2"
182,"repair, explosion / pressure release, near miss, piping & fittings, gas oil",operational_act1,causes_NA,nearmiss_con5,equipment_NA
183,"incorrect equipment installed, installation inadequate",operational_act1,"equipment_cau2, human_cau4",consequences_NA,", safety_eq10"
184,"offshore, damage to equipment, weather effects, product loss","operational_act1, uncategorised_act4",causes_NA,plant_con7,pipingfittings_eq5
185,"reactors and reaction equipment, evacuation, spill, near miss, mechanical equipment failure",operational_act1,causes_NA,"nearmiss_con5, plant_con7",pipingfittings_eq5
186,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
187,"modification, flange, blank, pipeline, plant / property / equipment, design or procedure error, near miss",operational_act1,causes_NA,nearmiss_con5,pipingfittings_eq5
188,"inspection, explosion, fire - consequence",operational_act1,causes_NA,consequences_NA,storage_eq13
189,"solids processing equipment, flow restriction, cleaning, unwanted chemical reaction, overheating",operational_act1,process_cau6,consequences_NA,storage_eq13
190,fire - consequence,"operational_act1, uncategorised_act4",causes_NA,consequences_NA,equipment_NA
191,keyword_NA,operational_act1,causes_NA,consequences_NA,powerplant_eq6
192,"faulty instructions, cracking","operational_act1, processing_act2","human_cau4, process_cau6",plant_con7,"pipingfittings_eq5, reactors_eq9"
193,"design or procedure error, near miss, operation inadequate",operational_act1,causes_NA,nearmiss_con5,equipment_NA
194,cracking,"operational_act1, processing_act2",causes_NA,consequences_NA,reactors_eq9
195,"explosion, fire - consequence","operational_act1, uncategorised_act4",causes_NA,consequences_NA,storage_eq13
196,"flange leak, fire - consequence, start-up, inspection inadequate",operational_act1,"human_cau4, process_cau6",consequences_NA,pipingfittings_eq5
197,"fire - consequence, commissioning",operational_act1,causes_NA,consequences_NA,storage_eq13
198,"entry into confined space, asphyxiation, separation equipment",operational_act1,causes_NA,consequences_NA,equipment_NA
199,keyword_NA,operational_act1,causes_NA,consequences_NA,storage_eq13
200,"operation inadequate, gas / vapour release, start-up, design inadequate",operational_act1,human_cau4,consequences_NA,storage_eq13
201,fire - consequence,operational_act1,causes_NA,consequences_NA,reactors_eq9
202,fire - consequence,operational_act1,equipment_cau2,consequences_NA,", safety_eq10"
203,"chemical causes, reactors and reaction equipment, damage to equipment, operation inadequate",operational_act1,causes_NA,plant_con7,reactors_eq9
204,"process control & instrumentation, design or procedure error",operational_act1,causes_NA,nearmiss_con5,equipment_NA
205,"fire - consequence,  flange, nozzle, material of construction failure, leak, gas / vapour release, start-up","operational_act1, processing_act2",causes_NA,consequences_NA,pipingfittings_eq5
207,"explosion, fire - consequence, damage to equipment","operational_act1, processing_act2",causes_NA,plant_con7,equipment_NA
208,"lack of earthing, static, fire - consequence",operational_act1,"equipment_cau2, process_cau6",consequences_NA,", pipingfittings_eq5, transport_eq16"
209,"asphyxiation, entry into confined space",operational_act1,causes_NA,consequences_NA,equipment_NA
210,"human causes, repair, marine transport",operational_act1,causes_NA,consequences_NA,storage_eq13
211,"maintenance inadequate, fire - consequence, management system inadequate",operational_act1,"human_cau4, process_cau6",plant_con7,pipingfittings_eq5
212,"gas / vapour release, spill, management system inadequate","operational_act1, processing_act2",equipment_cau2,consequences_NA,", pipingfittings_eq5"
213,keyword_NA,operational_act1,causes_NA,consequences_NA,equipment_NA
214,"fire - consequence, reactors and reaction equipment, leak, burns, maintenance, design or procedure error",operational_act1,causes_NA,consequences_NA,pipingfittings_eq5
215,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
216,keyword_NA,operational_act1,causes_NA,consequences_NA,process_eq8
217,keyword_NA,"operational_act1, uncategorised_act4",causes_NA,consequences_NA,storage_eq13
218,"fire - consequence, design or procedure error",operational_act1,causes_NA,consequences_NA,safety_eq10
219,"fire - consequence, fatality, entry into confined space, hotwork, distillation, draining of line insufficient, isolation inadequate, management system inadequate, weather effects, asphyxiation, injury","operational_act1, processing_act2",human_cau4,consequences_NA,equipment_NA
220,asphyxiation.,operational_act1,causes_NA,consequences_NA,transport_eq16
221,gas / vapour release,operational_act1,causes_NA,consequences_NA,equipment_NA
222,fire - consequence,operational_act1,equipment_cau2,consequences_NA,", reactors_eq9"
223,"entry into confined space, management system inadequate",operational_act1,causes_NA,consequences_NA,storage_eq13
224,"design or procedure error, damage to equipment, refining","operational_act1, processing_act2",causes_NA,plant_con7,equipment_NA
225,"heating equipment, fire - consequence","operational_act1, processing_act2",causes_NA,consequences_NA,equipment_NA
226,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
227,"fire - consequence, damage to equipment, mechanical equipment failure",operational_act1,chemical_cau1,plant_con7,equipment_NA
228,"maintenance inadequate, refining, gas / vapour release, fire - consequence","operational_act1, processing_act2","equipment_cau2, human_cau4",consequences_NA,equipment_NA
229,"maintenance, electrical, design or procedure error",operational_act1,causes_NA,consequences_NA,equipment_NA
230,keyword_NA,operational_act1,causes_NA,consequences_NA,reactors_eq9
231,"fire - consequence, lack of earthing",operational_act1,"equipment_cau2, process_cau6",consequences_NA,", storage_eq13"
232,gas / vapour release,operational_act1,causes_NA,consequences_NA,storage_eq13
233,"decomposition, cleaning",operational_act1,causes_NA,consequences_NA,storage_eq13
234,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
235,"evacuation, fatality, fire - consequence, maintenance inadequate",operational_act1,human_cau4,consequences_NA,pipingfittings_eq5
236,pollution,operational_act1,causes_NA,consequences_NA,storage_eq13
237,pollution,operational_act1,causes_NA,consequences_NA,pipingfittings_eq5
238,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
239,"cleaning, warehousing, entry into confined space, testing inadequate","operational_act1, uncategorised_act4",human_cau4,consequences_NA,"reactors_eq9, storage_eq13"
240,"construction, leak, entry into confined space, injury","operational_act1, uncategorised_act4",causes_NA,consequences_NA,storage_eq13
241,design inadequate,operational_act1,human_cau4,nearmiss_con5,equipment_NA
242,"fatality, safety procedures inadequate, entry into confined space, gas oil",operational_act1,human_cau4,consequences_NA,equipment_NA
243,"welding, storage tanks, process causes",operational_act1,causes_NA,consequences_NA,equipment_NA
244,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
245,start-up,operational_act1,process_cau6,consequences_NA,equipment_NA
246,"draining, gas / vapour release, fall, asphyxiation, accidental mixing, injury",operational_act1,chemical_cau1,consequences_NA,storage_eq13
247,keyword_NA,"operational_act1, processing_act2",equipment_cau2,consequences_NA,equipment_NA
248,"fire - consequence, separation equipment",operational_act1,causes_NA,consequences_NA,equipment_NA
249,"scaffolding, fal, inspection, injury",operational_act1,causes_NA,consequences_NA,tools_eq15
250,"start-up, fire - consequence",operational_act1,causes_NA,consequences_NA,equipment_NA
251,"testing inadequate, commissioning",operational_act1,human_cau4,consequences_NA,equipment_NA
252,"overpressurisation, refining, design or procedure error","operational_act1, processing_act2",process_cau6,consequences_NA,equipment_NA
253,"product loss, gas / vapour release",operational_act1,causes_NA,consequences_NA,equipment_NA
254,keyword_NA,operational_act1,causes_NA,consequences_NA,transport_eq16
255,"start-up, purging, utility failure",operational_act1,causes_NA,consequences_NA,equipment_NA
256,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
257,pipe,operational_act1,causes_NA,consequences_NA,equipment_NA
258,keyword_NA,operational_act1,causes_NA,consequences_NA,transport_eq16
259,"maintenance, leak,",operational_act1,causes_NA,nearmiss_con5,equipment_NA
260,cracking,"operational_act1, processing_act2",causes_NA,consequences_NA,reactors_eq9
261,fatality,operational_act1,causes_NA,consequences_NA,transport_eq16
262,"maintenance, permit to work system inadequate, gas / vapour release",operational_act1,management_cau5,consequences_NA,equipment_NA
263,fire - consequence,operational_act1,causes_NA,consequences_NA,equipment_NA
264,asphyxiation,operational_act1,causes_NA,consequences_NA,reactors_eq9
265,"fire - consequence, reactors and reaction equipment, damage to equipment, product loss, high temperature",operational_act1,causes_NA,consequences_NA,equipment_NA
266,keyword_NA,operational_act1,causes_NA,consequences_NA,electrical_eq1
267,"gas / vapour release, flare system",operational_act1,causes_NA,consequences_NA,equipment_NA
268,"scrubber, fire - consequence",operational_act1,causes_NA,consequences_NA,separation_eq11
269,"fire - consequence, reactors and reaction equipment, refining, bolts incorrectly tightened, inspection inadequate","operational_act1, processing_act2","equipment_cau2, human_cau4",consequences_NA,equipment_NA
270,keyword_NA,operational_act1,causes_NA,consequences_NA,equipment_NA
271,"fire - consequence, damage to equipment","operational_act1, uncategorised_act4",equipment_cau2,consequences_NA,equipment_NA
272,"gas / vapour release, near miss",operational_act1,equipment_cau2,nearmiss_con5,equipment_NA
273,"damage to equipment, isolation inadequate, operation inadequate",operational_act1,human_cau4,consequences_NA,equipment_NA
